goos: linux
goarch: amd64
pkg: project/benchmark
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkAESASCONDecrypt/AES-GCM/256B        	66589382	        83.63 ns/op	3061.20 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/AES-GCM/256B        	73762963	        86.01 ns/op	2976.39 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/AES-GCM/256B        	73278295	        84.13 ns/op	3042.95 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/AES-GCM/256B        	73702233	        86.35 ns/op	2964.56 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/AES-GCM/256B        	73839018	        85.04 ns/op	3010.26 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/AES-GCM/256B        	72944054	        86.16 ns/op	2971.29 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/AES-GCM/256B        	75232976	        84.67 ns/op	3023.36 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 4925790	      1181 ns/op	 216.85 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 5158873	      1196 ns/op	 213.97 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 5196195	      1176 ns/op	 217.60 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 5180778	      1193 ns/op	 214.66 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 5138302	      1159 ns/op	 220.97 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 5227744	      1163 ns/op	 220.12 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONDecrypt/ASCON/256B          	 5184730	      1173 ns/op	 218.31 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
